,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,AVES,FALCONIFORMES,ACCIPITRIDAE,Buteo,Buteo buteo,,BOD,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
2,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BOD,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
3,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
4,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,KIL,CAR+IJW+IVC+IVP+IVS+KEY+TUS,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
5,ANTHOZOA,HELIOPORACEA,HELIOPORIDAE,Heliopora,Heliopora coerulea,,COR,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
6,ANTHOZOA,ALCYONACEA,TUBIPORIDAE,Tubipora,Tubipora musica,,COR,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
7,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,HAI,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
9,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,Macaca sylvanus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
10,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacus,Psittacus erithacus,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
11,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
