,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Found Terms,Full term name
1,AVES,FALCONIFORMES,ACCIPITRIDAE,Buteo,Buteo buteo,,BOD,0,0,0,0,0,147,0,883,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,2,0,1,0,BOD,bodies
2,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BOD,0,0,0,0,0,0,0,0,0,0,144,0,107,25,2355,1000,0,0,0,1,0,0,101,0,0,0,1,25,4,0,0,0,0,0,0,0,0,0,0,0,BOD,bodies
3,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,0,0,114,236640,954895,1824952,2097196,820457,813509,828422,381016,233101,46715,27205,57898,659,1201,1929,1415,1958,2127,2364,1749,2125,1219,1701,1280,1236,1636,1213,2297,1004,1665,1070,784,881,1606,1546.5,679.08,560.5,CAR+IVC+IVP+IVS+PKY+TUS,tusks & ivory products
4,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,KIL,CAR+IJW+IVC+IVP+IVS+KEY+TUS,0,0,9686.2,48325,104662.26,53031.2,41771.919,69617.64,186121.835,79538.984,132482.044,138163.519,1053869.784,41425.828,45187.741,1265.192,854.164,572.81,847.671,733.17,19,0,7,3.9,0,25,34.5,45.02,168.6,150.075,40.44,17,338,203.2,636.85,564.5,232,100.4,138,76,CAR+IVC+IVP+IVS+TUS,tusks & ivory products
5,ANTHOZOA,HELIOPORACEA,HELIOPORIDAE,Heliopora,Heliopora coerulea,,COR,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,9956,0,11098,13765,6090,2940,2144,14,0,0,0,10,1783,709,282,0,0,0,10,0,13,0,0,COR,raw corals
6,ANTHOZOA,ALCYONACEA,TUBIPORIDAE,Tubipora,Tubipora musica,,COR,0,0,0,0,0,0,0,0,0,0,0,0,3344,0,0,500,510,8513,157,5280,5868,218,0,107,287,50,3,0,163,797,445,0,573,627,33,21,30,819,0,427,COR,raw corals
7,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,HAI,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,100,1,1,4,0,4,0,3,0,0,0,1,0,11,41,3,147,1260,98,48,3061,HAI,hair
9,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,Macaca sylvanus,,LIV,0,0,0,0,0,0,0,0,0,0,0,22,0,12,0,0,0,0,0,0,0,0,0,32,4,5,1,2,7,0,0,0,1,1,4,1,0,0,0,0,LIV,live
10,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacus,Psittacus erithacus,,LIV,0,0,0,2301,3591,2134,5714,9673,13619,8986,19714,14922,20173,24071,15129,20022,21629,19994,19593,21286,24604,24310,6945,17505,29340,27663,27382,21579,26996,36437,30332,689,97,222,128,215,85,72,69,50,LIV,live
11,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,LIV,0,90301,131215,147195,7500,82835,96768,25500,41503,11000,0,1,7216,18,20,41,17,10,3,66,2001,8,36,654,1,37,1802,850,624,2816,1055,5329,4557,4516,4840,4291,3075,3081,5947,2531,LIV,live
12,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo hermanni,,LIV,0,1,25000,80500,5000,28593,10000,0,9001,4500,7000,3144,2041,9,260,6,8,7,1,76,29,24,12,7,14,46,21,1250,1237,1722,26,28,3433,3977,6168,2343,2466,5173,7322,4592,LIV,live
13,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo horsfieldii,,LIV,0,0,5000,1500,95000,48000,13160,82010,44800,40315,0,1,30,0,44,0,0,4,3850,202,4001,2000,2250,16287,7503,2254,3818,7242,12120,9767,16305,34752,32631,36303,34585,34265,45919,44248,52215,51295,LIV,live
