,Class,Order,Family,Genus,Taxon,Unit,Term,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,Found Terms
1,AVES,FALCONIFORMES,ACCIPITRIDAE,Buteo,Buteo buteo,,BOD,4,9,5,1,5,2,4,2,4,5,BOD
2,REPTILIA,SERPENTES,ELAPIDAE,Naja,Naja naja,,BOD,59,199,86,88,79,79,43,33,66,7,BOD
3,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,302,17594,914,748,218,1527,2513,1152,886,468,CAR+IVP+TUS
4,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,KIL,CAR+IJW+IVC+IVP+IVS+KEY+TUS,2719.68,35.06,132.39,23.25,4.79,56.4,419.5,195.82,365.65,2870.92,CAR+IVP+TUS
5,ANTHOZOA,HELIOPORACEA,HELIOPORIDAE,Heliopora,Heliopora coerulea,,COR,23,13,5,3,10,6,41,9,4,11,COR
6,ANTHOZOA,ALCYONACEA,TUBIPORIDAE,Tubipora,Tubipora musica,,COR,16,16,1,2,30,6,122,16,2,4,COR
7,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Loxodonta,Loxodonta africana,,HAI,12,47,262,7,3,4,5,17,13,3,HAI
9,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,Macaca sylvanus,,LIV,11,5,5,9,8,5,2,1,3,3,LIV
10,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacus,Psittacus erithacus,,LIV,12,11,7,12,19,132,11,11,15,47,LIV
11,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo graeca,,LIV,270,250,349,599,233,200,357,411,383,272,LIV
12,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo hermanni,,LIV,221,458,378,13,53,155,351,482,242,42,LIV
13,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo horsfieldii,,LIV,2,2,18,4,61,1,10,199,4,4,LIV
14,REPTILIA,TESTUDINATA,TESTUDINIDAE,Testudo,Testudo kleinmanni,,LIV,7,40,3,2,3,12,2,15,1,3,LIV
15,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python reticulatus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,24,794,119,81,290,26,215,33,31,13,LPL+LPS
16,REPTILIA,SERPENTES,PYTHONIDAE,Python,Python sebae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,193,109,47,511,58,91,22,15,14,106,LPL+LPS
