,Order,Family,Genus,Taxon,Unit,Term,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,0,0,0,0,0,0,0,209,129,81,178,152,127,97,78,172,138,94,105,47,52,40,42,22,18,13,28,20,19,19,7,11,120,15,19,23,9,32,6,13
2,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BOD+CAP,0,0,0,0,0,0,0,206,135,43,69,97,104,107,86,118,87,40,30,33,31,24,18,20,21,4,5,12,12,14,10,7,8,12,15,12,13,8,15,4
4,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,0,0,0,0,0,0,0,1139,2284,11221,2585,3161,7911,2437,8391,5057,2086,1971,908,829,340,742,262,455,587,194,806,743,351,734,352,222,349,915,308,614,264,282,638,3062
5,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,990,5043,1113,1614,691,1141,5125,1118,4965,1533.5,662,218.5,281,230,172,274.5,1071,787,737,416,650,1568,578,305,1273,786,3596,5122,2013,1574,545,2501,317
6,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,13,43,31,71,189,46,74,100,28,31,198,55,54,3,58,17,26,44,50,37,25,48,20,94,104,184,877,729,164,740,418,228,311
7,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,5,38,34,202,316,306,295,397,208,175,193,148,73,64,63,46,17,7,8,6,8,4,19,18,6,12,7,4,5,5,2,86,1
8,Serpentes,Pythonidae,Python,Python sebae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,3,5,323,440,536,724,6509,581,678,2493,459.5,225,212,181,246,150,153,188,189,15,23,24,51,57,122,20,510,117,150,85,6,24,50
9,Cetacea,Physeteridae,Physeter,Physeter macrocephalus,,TEE,0,0,0,0,0,0,0,14,3,20,8,5,3,3,46,14,5,19,14,21,2,2,2,34,6,9,4,17,5,730,35,9,6,5,7,5,1,4,9,20
10,Carnivora,Felidae,Panthera,Panthera pardus,,TRO,0,0,0,0,0,0,0,4,9,7,9,16,11,12,11,5,7,5,10,4,3,6,3,6,6,8,12,6,5,8,21,31,19,30,14,13,14,18,10,5
11,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,34,1592,361,356,74,934,76,101,369,1194,1325,366,31,8,14,79,5,5,6,1,1,41,5,21,8,2,27,13,7,0,8,3,4
12,Sauria,Varanidae,Varanus,Varanus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,1596,221,210,503,159,40,155,45,9805,309,111,1602,411,67,172,4555,987,162,390,324,372,950,483,113,25,1206,224,440,634,81,143,52
13,Carnivora,Felidae,Panthera,Panthera pardus,,PLA+SKI,0,0,0,0,0,0,0,12,3,19,23,24,28,19,25,16,15,15,17,15,13,7,2,7,4,8,10,7,3,6,6,3,2,1,2,4,1,1,2,0
15,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,13,83,0,36,12,18,16,144,211,153,112,178,2005.5,247.5,200,179,698,660,1095,991,767,1556,1501,1577,2559,483,2284,5061,3821,1433,3195,2452,1869
16,Serpentes,Pythonidae,Python,Python reticulatus,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,340,844,122,260,352,328,2881,272,1656,241,124.5,154,274,647,674,164,116,260,535,292,186,163,699,146,321,103,2028,3618,1120,2050,3540,1296,763
17,Carnivora,Felidae,Leopardus,Leopardus pardalis,,SKI,0,0,0,0,0,0,0,76,97,82,76,52,33,63,82,78,59,32,32,17,17,16,14,6,6,6,6,5,2,2,12,6,4,0,4,7,2,0,1,1
18,Carnivora,Felidae,Lynx,Lynx rufus,,SKI+SKP,0,0,0,0,0,0,0,525,31,2,3,5,1,2,5,7,9,3,3,1,1,2,1,5,2,2,3,2,0,6,1,3,22,150,219,17,5,0,12,4
19,Serpentes,Pythonidae,Python,Python sebae,,SID+SKD+SKI+SKP,0,0,0,0,0,0,0,15,4,6,61,249,29,248,114,33,19,134,30,17,28,14,4,10,1,8,27,9,1,22,9,8,9,5,4,15,3,1,6,1
20,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus pygargus,,TRO,0,0,0,0,0,0,0,0,0,5,8,1,3,7,4,2,1,5,7,7,1,2,7,7,8,4,8,7,3,4,10,6,5,2,6,3,1,5,5,1
22,Sauria,Iguanidae,Iguana,Iguana iguana,,BOD,0,0,0,0,0,0,0,20,10,2,0,1,5,1,15,14,27,9,7,7,36,27,65,1,3,1,2,2,1,0,44,9,25,1,13,6,15,28,1,0
23,Sauria,Iguanidae,Iguana,Iguana iguana,,LIV,0,0,0,0,0,0,0,2,2,0,5,21,2085,304,54,38,63,46,2,5,4,13,140,1,2,2,2,2,2,2,3,3,4,2007,4,2,2,0,1,0
24,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,LIV,0,0,0,0,0,0,0,152,0,0,2,3,74,6,3,2,2,1,30,6,9,9,4,5,13,11,7,9,2,5,4,0,1,2,3,2,2,1,3,10
