Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Full term name
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,0,0,0,0,0,192,267,4,64,42,42,46,69,68,64,3,4,85,49,47,57,38,33,17,18,6,5,2,10,12,5,4,11,5,22,69,114,14,506,33,bodies & carapaces
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BOD+CAP,0,0,1,1,33,195,231,4,97,25,30,57,127,83,62,1,0,43,29,27,16,10,9,4,5,2,3,6,8,9,11,6,4,1,4,96,24,1,10,18,bodies & carapaces
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,0,0,535043,3816439,3125641,1950198,2137728,1612861,1003267,3351844,5634828,8489688,3879129,1708997,261523,1385,2297,3908,3496,1689,1218,2062,2654,4755,3940,9701,3104,2152,2402,2915,11801,3785,2519,2855,994,3863,2407,2157,3212,2110,tusks & ivory products
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,592,201,6047,38700,121861,105458,119084,207965,343289,408045,727810,420382,470946,436480.5,214874,215120,223931.5,181773.5,192695.5,239234.5,192042.5,324798,382565,455772,531884,558502,515916,739204,860639,699043,671164,452614,430623.5,352149.59,332552.5,368349,304584.5,297429,leather products & items
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,1,0,0,9,26,0,2,82,5,15,35,84,67,3,22,109,62,51,34,78,334.5,4848,16800,20055,26842,33370,34522,41732,42945,39713,49905,43990,21580,30627,42070,33651,30968,30525.5,leather products & items
REPTILIA,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,2,35,0,2,18,14,49,38,99,98,2,0,24,13,9,3,27,24,15,9,5,9,0,1,2,1,0,0,0,0,0,0,0,0,0,leather products & items
REPTILIA,Serpentes,Pythonidae,Python,Python sebae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,88,2166,123,75,3239,2379,38608,26625,44426,50951,40180,43342,34436,13191,5523.5,1781,2492,4967.5,1092.5,1729,7282.5,25251,8988,4033,1887,509,1253,487,1989,510,391,672,101,60,63,129,303,82,leather products & items
MAMMALIA,Cetacea,Physeteridae,Physeter,Physeter macrocephalus,,TEE,0,0,0,0,0,16,22,2,3,6,7,29,10,2,0,7,0,0,4,3,3,2,1,5,56,8,29,13,4,25,4,7,5,0,7,21,23,41,26,16,teeth
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,TRO,0,0,0,0,3,6,1,44,231,136,280,288,276,301,268,328,304,312,336,424,366,349,388,399,417,465,449,414,444,405,486,503,485,534,616,434,298,410,350,317,trophies
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,1062,127,4,116,154,121,38,144,87,104,4.5,4,46,58,76,118,41,96,31,10,30,26,19,173,66,65,70,33,9,0,4,1,3,1,14,leather products & items
